,forecast
2026-09-01,40801.53560339261
2026-10-01,37378.196884840116
2026-11-01,37591.10413744525
2026-12-01,33262.4738217974
2027-01-01,36691.62823389391
2027-02-01,34846.74932627947
2027-03-01,37395.48456633753
2027-04-01,41664.87547393868
2027-05-01,51922.891387084455
2027-06-01,54029.175311688225
2027-07-01,55751.463224876
2027-08-01,54112.65680238211
2027-09-01,44006.27425401038
2027-10-01,40294.95958280943
2027-11-01,40505.52882796539
2027-12-01,35824.747028698075
2028-01-01,39500.02784915882
2028-02-01,37497.03623604697
2028-03-01,40221.70434373368
2028-04-01,44794.05317508016
2028-05-01,55798.22764463444
2028-06-01,58036.79080375314
2028-07-01,59861.42475926042
2028-08-01,58077.44976590594
2028-09-01,47211.01290462815
2028-10-01,43211.72228077876
2028-11-01,43419.95351848555
2028-12-01,38387.02023559875
2029-01-01,42308.42746442371
2029-02-01,40147.323145814466
2029-03-01,43047.92412112983
2029-04-01,47923.23087622164
2029-05-01,59673.56390218443
2029-06-01,62044.40629581805
2029-07-01,63971.38629364486
2029-08-01,62042.24272942978
2029-09-01,50415.75155524592
2029-10-01,46128.48497874808
2029-11-01,46334.37820900569
2029-12-01,40949.29344249942
2030-01-01,45116.82707968861
2030-02-01,42797.610055581965
2030-03-01,45874.143898525974
2030-04-01,51052.40857736312
2030-05-01,63548.900159734425
2030-06-01,66052.02178788297
2030-07-01,68081.34782802929
2030-08-01,66007.03569295362
2030-09-01,53620.490205863694
2030-10-01,49045.247676717394
2030-11-01,49248.802899525836
2030-12-01,43511.56664940009
2031-01-01,47925.22669495351
2031-02-01,45447.896965349464
2031-03-01,48700.36367592213
2031-04-01,54181.58627850461
2031-05-01,67424.23641728441
2031-06-01,70059.63727994788
2031-07-01,72191.30936241371
2031-08-01,69971.82865647745
2031-09-01,56825.228856481466
2031-10-01,51962.01037468672
2031-11-01,52163.227590045986
2031-12-01,46073.839856300765
2032-01-01,50733.62631021842
2032-02-01,48098.18387511696
2032-03-01,51526.58345331828
2032-04-01,57310.76397964609
2032-05-01,71299.5726748344
2032-06-01,74067.2527720128
2032-07-01,76301.27089679815
2032-08-01,73936.62162000129
2032-09-01,60029.96750709924
2032-10-01,54878.77307265604
2032-11-01,55077.65228056614
2032-12-01,48636.11306320143
2033-01-01,53542.025925483314
2033-02-01,50748.47078488446
2033-03-01,54352.803230714424
2033-04-01,60439.94168078757
2033-05-01,75174.9089323844
2033-06-01,78074.86826407773
2033-07-01,80411.23243118258
2033-08-01,77901.41458352513
2033-09-01,63234.70615771701
